# Experiment Results
# Name,D_A1_wall_baseline
# Architecture,11→256→3
# Memory Size,100000
# Wall Obstacle,True
# Final Record,40
# Final Avg (last 100),3.23
# Overall Avg,1.92
# Overall Std,4.33
# Block Averages (per 100 eps),"0.04, 0.62, 2.31, 3.38, 3.23"
# --- Observational Notes ---
# Training Stability (avg variance),40.86
# Max Performance Drop (forgetting),1.10
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,1,1,0.00,0.00,0.00,0.00,79
2,0,0,0.00,54,55,0.00,0.00,0.00,0.00,78
3,0,0,0.00,3,58,0.00,0.00,0.00,0.00,77
4,0,0,0.00,1,59,0.00,0.00,0.00,0.00,76
5,0,0,0.00,1,60,0.00,0.00,0.00,0.00,75
6,0,0,0.00,6,66,0.00,0.00,0.00,0.00,74
7,0,0,0.00,11,77,0.00,0.00,0.00,0.00,73
8,0,0,0.00,56,133,0.00,0.00,0.00,0.00,72
9,0,0,0.00,13,146,0.00,0.00,0.00,0.00,71
10,0,0,0.00,28,174,0.00,0.00,0.00,0.00,70
11,0,0,0.00,3,177,0.00,0.00,0.00,0.00,69
12,0,0,0.00,30,207,0.00,0.00,0.00,0.00,68
13,0,0,0.00,1,208,0.00,0.00,0.00,0.00,67
14,0,0,0.00,25,233,0.00,0.00,0.00,0.00,66
15,0,0,0.00,3,236,0.00,0.00,0.00,0.00,65
16,0,0,0.00,7,243,0.00,0.00,0.00,0.00,64
17,0,0,0.00,5,248,0.00,0.00,0.00,0.00,63
18,0,0,0.00,117,365,0.00,0.00,0.00,0.00,62
19,0,0,0.00,35,400,0.00,0.00,0.00,0.00,61
20,0,0,0.00,9,409,0.00,0.00,0.00,0.00,60
21,0,0,0.00,7,416,0.00,0.00,0.00,0.00,59
22,0,0,0.00,1,417,0.00,0.00,0.00,0.00,58
23,0,0,0.00,10,427,0.00,0.00,0.00,0.00,57
24,0,0,0.00,1,428,0.00,0.00,0.00,0.00,56
25,0,0,0.00,50,478,0.00,0.00,0.00,0.00,55
26,0,0,0.00,15,493,0.00,0.00,0.00,0.00,54
27,0,0,0.00,30,523,0.00,0.00,0.00,0.00,53
28,0,0,0.00,115,638,0.00,0.00,0.00,0.00,52
29,0,0,0.00,74,712,0.00,0.00,0.00,0.00,51
30,0,0,0.00,19,731,0.00,0.00,0.00,0.00,50
31,0,0,0.00,91,822,0.00,0.00,0.00,0.00,49
32,0,0,0.00,1,823,0.00,0.00,0.00,0.00,48
33,0,0,0.00,1,824,0.00,0.00,0.00,0.00,47
34,0,0,0.00,1,825,0.00,0.00,0.00,0.00,46
35,0,0,0.00,98,923,0.00,0.00,0.00,0.00,45
36,0,0,0.00,262,1185,0.00,0.00,0.00,0.00,44
37,0,0,0.00,25,1210,0.00,0.00,0.00,0.00,43
38,0,0,0.00,1,1211,0.00,0.00,0.00,0.00,42
39,0,0,0.00,26,1237,0.00,0.00,0.00,0.00,41
40,0,0,0.00,19,1256,0.00,0.00,0.00,0.00,40
41,0,0,0.00,29,1285,0.00,0.00,0.00,0.00,39
42,0,0,0.00,14,1299,0.00,0.00,0.00,0.00,38
43,0,0,0.00,29,1328,0.00,0.00,0.00,0.00,37
44,0,0,0.00,9,1337,0.00,0.00,0.00,0.00,36
45,0,0,0.00,23,1360,0.00,0.00,0.00,0.00,35
46,0,0,0.00,5,1365,0.00,0.00,0.00,0.00,34
47,0,0,0.00,21,1386,0.00,0.00,0.00,0.00,33
48,0,0,0.00,134,1520,0.00,0.00,0.00,0.00,32
