# Experiment Results
# Name,D_B1_wall_wide
# Architecture,11→512→3
# Memory Size,100000
# Wall Obstacle,True
# Final Record,42
# Final Avg (last 100),4.71
# Overall Avg,3.87
# Overall Std,6.07
# Block Averages (per 100 eps),"0.32, 3.03, 6.32, 4.99, 4.71"
# --- Observational Notes ---
# Training Stability (avg variance),41.15
# Max Performance Drop (forgetting),2.07
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,1,1,0.00,0.00,0.00,0.00,79
2,0,0,0.00,1,2,0.00,0.00,0.00,0.00,78
3,0,0,0.00,1,3,0.00,0.00,0.00,0.00,77
4,0,0,0.00,43,46,0.00,0.00,0.00,0.00,76
5,0,0,0.00,71,117,0.00,0.00,0.00,0.00,75
6,0,0,0.00,1,118,0.00,0.00,0.00,0.00,74
7,0,0,0.00,4,122,0.00,0.00,0.00,0.00,73
8,0,0,0.00,5,127,0.00,0.00,0.00,0.00,72
9,0,0,0.00,10,137,0.00,0.00,0.00,0.00,71
10,0,0,0.00,1,138,0.00,0.00,0.00,0.00,70
11,0,0,0.00,1,139,0.00,0.00,0.00,0.00,69
12,0,0,0.00,6,145,0.00,0.00,0.00,0.00,68
13,0,0,0.00,1,146,0.00,0.00,0.00,0.00,67
14,0,0,0.00,9,155,0.00,0.00,0.00,0.00,66
15,1,1,0.07,49,204,0.06,0.25,0.07,0.00,65
16,1,1,0.12,97,301,0.11,0.33,0.12,0.00,64
17,0,1,0.12,1,302,0.10,0.32,0.12,0.01,63
18,0,1,0.11,17,319,0.10,0.31,0.12,0.01,62
19,0,1,0.11,221,540,0.09,0.31,0.12,0.02,61
20,1,1,0.15,21,561,0.13,0.36,0.15,0.00,60
21,0,1,0.14,10,571,0.12,0.35,0.15,0.01,59
22,0,1,0.14,71,642,0.12,0.34,0.15,0.01,58
23,1,1,0.17,34,676,0.14,0.38,0.17,0.00,57
24,0,1,0.17,37,713,0.14,0.37,0.17,0.01,56
25,0,1,0.16,5,718,0.13,0.37,0.17,0.01,55
26,0,1,0.15,1,719,0.13,0.36,0.17,0.02,54
27,0,1,0.15,1,720,0.13,0.36,0.17,0.03,53
28,0,1,0.14,3,723,0.12,0.35,0.17,0.03,52
29,0,1,0.14,9,732,0.12,0.34,0.17,0.04,51
30,0,1,0.13,96,828,0.12,0.34,0.17,0.04,50
31,0,1,0.13,70,898,0.11,0.34,0.17,0.04,49
32,0,1,0.12,44,942,0.11,0.33,0.17,0.05,48
33,0,1,0.12,11,953,0.11,0.33,0.17,0.05,47
34,0,1,0.12,3,956,0.10,0.32,0.17,0.06,46
35,0,1,0.11,1,957,0.10,0.32,0.17,0.06,45
36,0,1,0.11,1,958,0.10,0.31,0.17,0.06,44
37,0,1,0.11,3,961,0.10,0.31,0.17,0.07,43
38,0,1,0.11,164,1125,0.09,0.31,0.17,0.07,42
39,0,1,0.10,1,1126,0.09,0.30,0.17,0.07,41
40,1,1,0.12,100,1226,0.11,0.33,0.17,0.05,40
41,0,1,0.12,31,1257,0.11,0.33,0.17,0.05,39
42,0,1,0.12,20,1277,0.10,0.32,0.17,0.05,38
43,1,1,0.14,214,1491,0.12,0.35,0.17,0.03,37
44,0,1,0.14,56,1547,0.12,0.34,0.17,0.04,36
45,0,1,0.13,68,1615,0.12,0.34,0.17,0.04,35
46,0,1,0.13,6,1621,0.11,0.34,0.17,0.04,34
47,0,1,0.13,41,1662,0.11,0.33,0.17,0.05,33
48,0,1,0.12,144,1806,0.11,0.33,0.17,0.05,32
49,1,1,0.14,75,1881,0.12,0.35,0.17,0.03,31
50,1,1,0.16,192,2073,0.13,0.37,0.17,0.01,30
51,0,1,0.16,1,2074,0.13,0.37,0.17,0.02,29
52,0,1,0.15,16,2090,0.13,0.37,0.17,0.02,28
53,1,1,0.17,41,2131,0.15,0.38,0.17,0.00,27
54,0,1,0.17,106,2237,0.15,0.38,0.17,0.01,26
55,1,1,0.18,110,2347,0.16,0.40,0.18,0.00,25
56,1,1,0.20,283,2630,0.17,0.41,0.20,0.00,24
57,0,1,0.19,1,2631,0.17,0.41,0.20,0.00,23
58,0,1,0.19,22,2653,0.17,0.41,0.20,0.01,22
59,0,1,0.19,7,2660,0.17,0.41,0.20,0.01,21
60,0,1,0.18,55,2715,0.17,0.41,0.20,0.01,20
61,0,1,0.18,88,2803,0.17,0.41,0.20,0.02,19
62,1,1,0.19,239,3042,0.18,0.43,0.20,0.00,18
63,1,1,0.21,47,3089,0.19,0.44,0.21,0.00,17
64,1,1,0.22,93,3182,0.20,0.45,0.22,0.00,16
65,1,1,0.23,36,3218,0.20,0.45,0.23,0.00,15
66,0,1,0.23,102,3320,0.19,0.44,0.23,0.00,14
67,0,1,0.22,92,3412,0.19,0.44,0.23,0.01,13
68,0,1,0.22,198,3610,0.19,0.44,0.23,0.01,12
69,0,1,0.22,34,3644,0.19,0.44,0.23,0.01,11
70,0,1,0.21,91,3735,0.18,0.43,0.23,0.02,10
71,1,1,0.23,334,4069,0.19,0.44,0.23,0.01,9
72,0,1,0.22,281,4350,0.19,0.44,0.23,0.01,8
73,0,1,0.22,1,4351,0.18,0.43,0.23,0.01,7
74,0,1,0.22,153,4504,0.18,0.43,0.23,0.01,6
75,0,1,0.21,401,4905,0.18,0.43,0.23,0.02,5
76,0,1,0.21,352,5257,0.18,0.43,0.23,0.02,4
77,0,1,0.21,17,5274,0.18,0.43,0.23,0.02,3
78,0,1,0.21,170,5444,0.18,0.43,0.23,0.03,2
79,0,1,0.20,136,5580,0.18,0.43,0.23,0.03,1
80,1,1,0.21,501,6081,0.19,0.44,0.23,0.02,0
81,0,1,0.21,401,6482,0.19,0.44,0.23,0.02,0
82,2,2,0.23,601,7083,0.25,0.50,0.23,0.00,0
83,0,2,0.23,401,7484,0.25,0.50,0.23,0.00,0
84,0,2,0.23,401,7885,0.25,0.50,0.23,0.01,0
85,1,2,0.24,501,8386,0.26,0.51,0.24,0.00,0
86,3,3,0.27,701,9087,0.40,0.63,0.27,0.00,0
87,0,3,0.26,401,9488,0.40,0.63,0.27,0.00,0
88,0,3,0.26,401,9889,0.40,0.63,0.27,0.01,0
89,0,3,0.26,401,10290,0.40,0.63,0.27,0.01,0
90,3,3,0.29,701,10991,0.52,0.72,0.29,0.00,0
91,0,3,0.29,401,11392,0.52,0.72,0.29,0.00,0
92,1,3,0.29,155,11547,0.53,0.73,0.29,0.00,0
93,0,3,0.29,401,11948,0.52,0.72,0.29,0.00,0
94,0,3,0.29,401,12349,0.52,0.72,0.29,0.01,0
95,0,3,0.28,401,12750,0.52,0.72,0.29,0.01,0
96,3,3,0.31,701,13451,0.65,0.81,0.31,0.00,0
97,1,3,0.32,501,13952,0.65,0.81,0.32,0.00,0
98,0,3,0.32,401,14353,0.65,0.81,0.32,0.00,0
99,0,3,0.31,401,14754,0.65,0.81,0.32,0.01,0
100,1,3,0.32,501,15255,0.65,0.81,0.32,0.00,0
101,1,3,0.33,501,15756,0.65,0.81,0.33,-0.00,0
102,3,3,0.36,701,16457,0.77,0.88,0.36,-0.00,0
103,0,3,0.36,401,16858,0.77,0.88,0.36,-0.00,0
104,0,3,0.36,401,17259,0.77,0.88,0.36,-0.00,0
105,1,3,0.37,501,17760,0.77,0.88,0.37,-0.00,0
106,0,3,0.37,401,18161,0.77,0.88,0.37,-0.00,0
107,1,3,0.38,501,18662,0.77,0.88,0.38,-0.00,0
108,0,3,0.38,401,19063,0.77,0.88,0.38,-0.00,0
109,3,3,0.41,701,19764,0.88,0.94,0.41,-0.00,0
