# Experiment Results
# Name,D_B2_wall_deep_4hidden
# Architecture,11→256→256→128→64→3
# Memory Size,100000
# Wall Obstacle,True
# Final Record,1
# Final Avg (last 100),0.05
# Overall Avg,0.04
# Overall Std,0.19
# Block Averages (per 100 eps),"0.01, 0.07, 0.04, 0.02, 0.05"
# --- Observational Notes ---
# Training Stability (avg variance),0.02
# Max Performance Drop (forgetting),0.06
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,5,5,0.00,0.00,0.00,0.00,79
2,0,0,0.00,1,6,0.00,0.00,0.00,0.00,78
3,0,0,0.00,52,58,0.00,0.00,0.00,0.00,77
4,0,0,0.00,4,62,0.00,0.00,0.00,0.00,76
5,0,0,0.00,1,63,0.00,0.00,0.00,0.00,75
6,0,0,0.00,24,87,0.00,0.00,0.00,0.00,74
7,0,0,0.00,3,90,0.00,0.00,0.00,0.00,73
8,0,0,0.00,1,91,0.00,0.00,0.00,0.00,72
9,0,0,0.00,1,92,0.00,0.00,0.00,0.00,71
10,0,0,0.00,16,108,0.00,0.00,0.00,0.00,70
11,0,0,0.00,3,111,0.00,0.00,0.00,0.00,69
12,0,0,0.00,15,126,0.00,0.00,0.00,0.00,68
13,0,0,0.00,3,129,0.00,0.00,0.00,0.00,67
14,1,1,0.07,20,149,0.07,0.26,0.07,0.00,66
15,0,1,0.07,46,195,0.06,0.25,0.07,0.00,65
16,0,1,0.06,1,196,0.06,0.24,0.07,0.01,64
17,0,1,0.06,32,228,0.06,0.24,0.07,0.01,63
18,0,1,0.06,1,229,0.05,0.23,0.07,0.02,62
19,0,1,0.05,1,230,0.05,0.22,0.07,0.02,61
20,0,1,0.05,1,231,0.05,0.22,0.07,0.02,60
21,0,1,0.05,75,306,0.05,0.21,0.07,0.02,59
22,0,1,0.05,32,338,0.04,0.21,0.07,0.03,58
23,0,1,0.04,1,339,0.04,0.20,0.07,0.03,57
24,0,1,0.04,1,340,0.04,0.20,0.07,0.03,56
25,0,1,0.04,1,341,0.04,0.20,0.07,0.03,55
