# Experiment Results
# Name,D_B3_wall_deep_6hidden
# Architecture,11→256→256→256→128→128→64→3
# Memory Size,100000
# Wall Obstacle,True
# Final Record,1
# Final Avg (last 100),0.01
# Overall Avg,0.01
# Overall Std,0.09
# Block Averages (per 100 eps),"0.00, 0.00, 0.01, 0.02, 0.01"
# --- Observational Notes ---
# Training Stability (avg variance),0.01
# Max Performance Drop (forgetting),0.02
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,1,1,0.00,0.00,0.00,0.00,79
2,0,0,0.00,1,2,0.00,0.00,0.00,0.00,78
3,0,0,0.00,1,3,0.00,0.00,0.00,0.00,77
4,0,0,0.00,1,4,0.00,0.00,0.00,0.00,76
5,0,0,0.00,20,24,0.00,0.00,0.00,0.00,75
6,0,0,0.00,1,25,0.00,0.00,0.00,0.00,74
7,0,0,0.00,1,26,0.00,0.00,0.00,0.00,73
8,0,0,0.00,10,36,0.00,0.00,0.00,0.00,72
9,0,0,0.00,22,58,0.00,0.00,0.00,0.00,71
10,0,0,0.00,4,62,0.00,0.00,0.00,0.00,70
11,0,0,0.00,24,86,0.00,0.00,0.00,0.00,69
12,0,0,0.00,1,87,0.00,0.00,0.00,0.00,68
13,0,0,0.00,4,91,0.00,0.00,0.00,0.00,67
14,0,0,0.00,1,92,0.00,0.00,0.00,0.00,66
15,0,0,0.00,81,173,0.00,0.00,0.00,0.00,65
16,0,0,0.00,1,174,0.00,0.00,0.00,0.00,64
17,0,0,0.00,1,175,0.00,0.00,0.00,0.00,63
18,0,0,0.00,16,191,0.00,0.00,0.00,0.00,62
19,0,0,0.00,1,192,0.00,0.00,0.00,0.00,61
20,0,0,0.00,3,195,0.00,0.00,0.00,0.00,60
21,0,0,0.00,1,196,0.00,0.00,0.00,0.00,59
22,0,0,0.00,1,197,0.00,0.00,0.00,0.00,58
23,0,0,0.00,373,570,0.00,0.00,0.00,0.00,57
24,0,0,0.00,1,571,0.00,0.00,0.00,0.00,56
25,0,0,0.00,3,574,0.00,0.00,0.00,0.00,55
26,0,0,0.00,1,575,0.00,0.00,0.00,0.00,54
27,0,0,0.00,16,591,0.00,0.00,0.00,0.00,53
28,0,0,0.00,138,729,0.00,0.00,0.00,0.00,52
29,0,0,0.00,1,730,0.00,0.00,0.00,0.00,51
30,0,0,0.00,25,755,0.00,0.00,0.00,0.00,50
31,0,0,0.00,98,853,0.00,0.00,0.00,0.00,49
32,0,0,0.00,31,884,0.00,0.00,0.00,0.00,48
33,0,0,0.00,1,885,0.00,0.00,0.00,0.00,47
34,0,0,0.00,16,901,0.00,0.00,0.00,0.00,46
35,0,0,0.00,75,976,0.00,0.00,0.00,0.00,45
36,0,0,0.00,1,977,0.00,0.00,0.00,0.00,44
37,0,0,0.00,11,988,0.00,0.00,0.00,0.00,43
38,0,0,0.00,22,1010,0.00,0.00,0.00,0.00,42
39,0,0,0.00,1,1011,0.00,0.00,0.00,0.00,41
40,0,0,0.00,1,1012,0.00,0.00,0.00,0.00,40
41,0,0,0.00,1,1013,0.00,0.00,0.00,0.00,39
42,0,0,0.00,1,1014,0.00,0.00,0.00,0.00,38
43,0,0,0.00,37,1051,0.00,0.00,0.00,0.00,37
44,0,0,0.00,1,1052,0.00,0.00,0.00,0.00,36
45,0,0,0.00,3,1055,0.00,0.00,0.00,0.00,35
46,0,0,0.00,1,1056,0.00,0.00,0.00,0.00,34
47,0,0,0.00,1,1057,0.00,0.00,0.00,0.00,33
48,0,0,0.00,1,1058,0.00,0.00,0.00,0.00,32
49,0,0,0.00,1,1059,0.00,0.00,0.00,0.00,31
50,0,0,0.00,3,1062,0.00,0.00,0.00,0.00,30
51,0,0,0.00,1,1063,0.00,0.00,0.00,0.00,29
52,0,0,0.00,1,1064,0.00,0.00,0.00,0.00,28
53,0,0,0.00,16,1080,0.00,0.00,0.00,0.00,27
54,0,0,0.00,31,1111,0.00,0.00,0.00,0.00,26
55,0,0,0.00,185,1296,0.00,0.00,0.00,0.00,25
56,0,0,0.00,1,1297,0.00,0.00,0.00,0.00,24
57,0,0,0.00,1,1298,0.00,0.00,0.00,0.00,23
58,0,0,0.00,3,1301,0.00,0.00,0.00,0.00,22
59,0,0,0.00,1,1302,0.00,0.00,0.00,0.00,21
60,0,0,0.00,1,1303,0.00,0.00,0.00,0.00,20
61,0,0,0.00,5,1308,0.00,0.00,0.00,0.00,19
62,0,0,0.00,16,1324,0.00,0.00,0.00,0.00,18
63,0,0,0.00,16,1340,0.00,0.00,0.00,0.00,17
64,0,0,0.00,70,1410,0.00,0.00,0.00,0.00,16
65,0,0,0.00,1,1411,0.00,0.00,0.00,0.00,15
66,0,0,0.00,1,1412,0.00,0.00,0.00,0.00,14
67,0,0,0.00,1,1413,0.00,0.00,0.00,0.00,13
68,0,0,0.00,1,1414,0.00,0.00,0.00,0.00,12
69,0,0,0.00,1,1415,0.00,0.00,0.00,0.00,11
70,0,0,0.00,1,1416,0.00,0.00,0.00,0.00,10
71,0,0,0.00,1,1417,0.00,0.00,0.00,0.00,9
72,0,0,0.00,1,1418,0.00,0.00,0.00,0.00,8
73,0,0,0.00,1,1419,0.00,0.00,0.00,0.00,7
74,0,0,0.00,1,1420,0.00,0.00,0.00,0.00,6
75,0,0,0.00,1,1421,0.00,0.00,0.00,0.00,5
76,0,0,0.00,1,1422,0.00,0.00,0.00,0.00,4
77,0,0,0.00,1,1423,0.00,0.00,0.00,0.00,3
78,0,0,0.00,1,1424,0.00,0.00,0.00,0.00,2
79,0,0,0.00,16,1440,0.00,0.00,0.00,0.00,1
80,0,0,0.00,16,1456,0.00,0.00,0.00,0.00,0
81,0,0,0.00,16,1472,0.00,0.00,0.00,0.00,0
82,0,0,0.00,16,1488,0.00,0.00,0.00,0.00,0
83,0,0,0.00,16,1504,0.00,0.00,0.00,0.00,0
84,0,0,0.00,16,1520,0.00,0.00,0.00,0.00,0
85,0,0,0.00,401,1921,0.00,0.00,0.00,0.00,0
86,0,0,0.00,1,1922,0.00,0.00,0.00,0.00,0
87,0,0,0.00,1,1923,0.00,0.00,0.00,0.00,0
88,0,0,0.00,1,1924,0.00,0.00,0.00,0.00,0
89,0,0,0.00,1,1925,0.00,0.00,0.00,0.00,0
90,0,0,0.00,16,1941,0.00,0.00,0.00,0.00,0
91,0,0,0.00,16,1957,0.00,0.00,0.00,0.00,0
92,0,0,0.00,16,1973,0.00,0.00,0.00,0.00,0
93,0,0,0.00,16,1989,0.00,0.00,0.00,0.00,0
94,0,0,0.00,16,2005,0.00,0.00,0.00,0.00,0
95,0,0,0.00,401,2406,0.00,0.00,0.00,0.00,0
96,0,0,0.00,1,2407,0.00,0.00,0.00,0.00,0
97,0,0,0.00,1,2408,0.00,0.00,0.00,0.00,0
98,0,0,0.00,1,2409,0.00,0.00,0.00,0.00,0
99,0,0,0.00,1,2410,0.00,0.00,0.00,0.00,0
100,0,0,0.00,1,2411,0.00,0.00,0.00,0.00,0
101,0,0,0.00,16,2427,0.00,0.00,0.00,0.00,0
102,0,0,0.00,16,2443,0.00,0.00,0.00,0.00,0
103,0,0,0.00,16,2459,0.00,0.00,0.00,0.00,0
104,0,0,0.00,16,2475,0.00,0.00,0.00,0.00,0
105,0,0,0.00,16,2491,0.00,0.00,0.00,0.00,0
106,0,0,0.00,401,2892,0.00,0.00,0.00,0.00,0
107,0,0,0.00,1,2893,0.00,0.00,0.00,0.00,0
108,0,0,0.00,1,2894,0.00,0.00,0.00,0.00,0
109,0,0,0.00,1,2895,0.00,0.00,0.00,0.00,0
