# Experiment Results
# Name,D_C1_wall_small_memory
# Architecture,11→256→3
# Memory Size,10000
# Wall Obstacle,True
# Final Record,25
# Final Avg (last 100),2.43
# Overall Avg,1.66
# Overall Std,2.75
# Block Averages (per 100 eps),"0.35, 1.44, 1.81, 2.28, 2.43"
# --- Observational Notes ---
# Training Stability (avg variance),13.32
# Max Performance Drop (forgetting),0.59
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,18,18,0.00,0.00,0.00,0.00,79
2,0,0,0.00,40,58,0.00,0.00,0.00,0.00,78
3,0,0,0.00,1,59,0.00,0.00,0.00,0.00,77
4,0,0,0.00,1,60,0.00,0.00,0.00,0.00,76
5,0,0,0.00,12,72,0.00,0.00,0.00,0.00,75
6,0,0,0.00,1,73,0.00,0.00,0.00,0.00,74
7,0,0,0.00,1,74,0.00,0.00,0.00,0.00,73
8,0,0,0.00,1,75,0.00,0.00,0.00,0.00,72
9,0,0,0.00,5,80,0.00,0.00,0.00,0.00,71
10,0,0,0.00,27,107,0.00,0.00,0.00,0.00,70
11,0,0,0.00,43,150,0.00,0.00,0.00,0.00,69
12,0,0,0.00,37,187,0.00,0.00,0.00,0.00,68
13,0,0,0.00,160,347,0.00,0.00,0.00,0.00,67
14,0,0,0.00,3,350,0.00,0.00,0.00,0.00,66
15,0,0,0.00,58,408,0.00,0.00,0.00,0.00,65
16,0,0,0.00,20,428,0.00,0.00,0.00,0.00,64
17,0,0,0.00,1,429,0.00,0.00,0.00,0.00,63
18,0,0,0.00,14,443,0.00,0.00,0.00,0.00,62
19,0,0,0.00,1,444,0.00,0.00,0.00,0.00,61
20,0,0,0.00,13,457,0.00,0.00,0.00,0.00,60
21,0,0,0.00,1,458,0.00,0.00,0.00,0.00,59
22,0,0,0.00,26,484,0.00,0.00,0.00,0.00,58
23,0,0,0.00,30,514,0.00,0.00,0.00,0.00,57
24,0,0,0.00,11,525,0.00,0.00,0.00,0.00,56
25,0,0,0.00,22,547,0.00,0.00,0.00,0.00,55
26,1,1,0.04,125,672,0.04,0.19,0.04,0.00,54
27,0,1,0.04,105,777,0.04,0.19,0.04,0.00,53
28,0,1,0.04,3,780,0.03,0.19,0.04,0.00,52
29,0,1,0.03,124,904,0.03,0.18,0.04,0.00,51
30,0,1,0.03,78,982,0.03,0.18,0.04,0.01,50
31,0,1,0.03,1,983,0.03,0.18,0.04,0.01,49
32,1,1,0.06,111,1094,0.06,0.24,0.06,0.00,48
33,0,1,0.06,24,1118,0.06,0.24,0.06,0.00,47
34,1,1,0.09,52,1170,0.08,0.28,0.09,0.00,46
35,0,1,0.09,55,1225,0.08,0.28,0.09,0.00,45
36,1,1,0.11,74,1299,0.10,0.31,0.11,0.00,44
37,0,1,0.11,25,1324,0.10,0.31,0.11,0.00,43
38,0,1,0.11,55,1379,0.09,0.31,0.11,0.01,42
39,0,1,0.10,59,1438,0.09,0.30,0.11,0.01,41
40,0,1,0.10,302,1740,0.09,0.30,0.11,0.01,40
41,0,1,0.10,23,1763,0.09,0.30,0.11,0.01,39
42,0,1,0.10,47,1810,0.09,0.29,0.11,0.02,38
43,0,1,0.09,57,1867,0.08,0.29,0.11,0.02,37
44,0,1,0.09,148,2015,0.08,0.29,0.11,0.02,36
45,0,1,0.09,18,2033,0.08,0.28,0.11,0.02,35
46,0,1,0.09,65,2098,0.08,0.28,0.11,0.02,34
47,0,1,0.09,68,2166,0.08,0.28,0.11,0.03,33
48,0,1,0.08,22,2188,0.08,0.28,0.11,0.03,32
49,2,2,0.12,419,2607,0.15,0.39,0.12,0.00,31
50,1,2,0.14,70,2677,0.16,0.40,0.14,0.00,30
51,0,2,0.14,70,2747,0.16,0.40,0.14,0.00,29
52,1,2,0.15,160,2907,0.17,0.42,0.15,0.00,28
53,0,2,0.15,36,2943,0.17,0.42,0.15,0.00,27
54,0,2,0.15,116,3059,0.17,0.42,0.15,0.01,26
55,0,2,0.15,3,3062,0.17,0.42,0.15,0.01,25
56,0,2,0.14,105,3167,0.17,0.42,0.15,0.01,24
57,1,2,0.16,111,3278,0.19,0.43,0.16,0.00,23
58,0,2,0.16,47,3325,0.19,0.43,0.16,0.00,22
59,0,2,0.15,335,3660,0.19,0.43,0.16,0.01,21
60,0,2,0.15,135,3795,0.19,0.43,0.16,0.01,20
61,0,2,0.15,4,3799,0.19,0.43,0.16,0.01,19
62,2,2,0.18,72,3871,0.25,0.50,0.18,0.00,18
63,0,2,0.17,151,4022,0.25,0.50,0.18,0.00,17
64,0,2,0.17,69,4091,0.25,0.50,0.18,0.01,16
65,0,2,0.17,36,4127,0.25,0.50,0.18,0.01,15
66,0,2,0.17,127,4254,0.25,0.50,0.18,0.01,14
67,1,2,0.18,189,4443,0.26,0.51,0.18,0.00,13
68,0,2,0.18,70,4513,0.26,0.51,0.18,0.00,12
69,0,2,0.17,5,4518,0.26,0.51,0.18,0.01,11
70,0,2,0.17,61,4579,0.26,0.51,0.18,0.01,10
71,1,2,0.18,109,4688,0.27,0.52,0.18,0.00,9
72,1,2,0.19,419,5107,0.28,0.53,0.19,0.00,8
73,0,2,0.19,401,5508,0.28,0.53,0.19,0.00,7
74,2,2,0.22,345,5853,0.34,0.58,0.22,0.00,6
75,0,2,0.21,16,5869,0.34,0.58,0.22,0.00,5
76,0,2,0.21,79,5948,0.33,0.57,0.22,0.01,4
77,0,2,0.21,27,5975,0.33,0.57,0.22,0.01,3
78,0,2,0.21,401,6376,0.33,0.57,0.22,0.01,2
79,1,2,0.22,334,6710,0.34,0.58,0.22,0.00,1
80,0,2,0.21,401,7111,0.34,0.58,0.22,0.00,0
81,0,2,0.21,401,7512,0.34,0.58,0.22,0.01,0
82,0,2,0.21,401,7913,0.33,0.57,0.22,0.01,0
83,0,2,0.20,401,8314,0.33,0.57,0.22,0.01,0
84,0,2,0.20,401,8715,0.32,0.57,0.22,0.01,0
85,1,2,0.21,501,9216,0.33,0.57,0.22,0.00,0
86,0,2,0.21,401,9617,0.32,0.57,0.22,0.01,0
87,0,2,0.21,401,10000,0.32,0.57,0.22,0.01,0
88,1,2,0.22,501,10000,0.33,0.57,0.22,0.00,0
89,0,2,0.21,401,10000,0.33,0.57,0.22,0.00,0
90,5,5,0.27,901,10000,0.76,0.87,0.27,0.00,0
91,0,5,0.26,401,10000,0.76,0.87,0.27,0.00,0
92,0,5,0.26,401,10000,0.76,0.87,0.27,0.01,0
93,1,5,0.27,501,10000,0.76,0.87,0.27,0.00,0
94,0,5,0.27,401,10000,0.76,0.87,0.27,0.00,0
95,1,5,0.27,501,10000,0.77,0.88,0.27,0.00,0
96,7,7,0.34,476,10000,1.60,1.27,0.34,0.00,0
97,2,7,0.36,601,10000,1.64,1.28,0.36,0.00,0
98,0,7,0.36,401,10000,1.64,1.28,0.36,0.00,0
99,0,7,0.35,401,10000,1.60,1.27,0.36,0.01,0
100,0,7,0.35,401,10000,1.61,1.27,0.36,0.01,0
101,0,7,0.35,401,10000,1.61,1.27,0.36,0.01,0
102,1,7,0.36,501,10000,1.61,1.27,0.36,0.00,0
103,0,7,0.36,401,10000,1.61,1.27,0.36,0.00,0
104,5,7,0.41,275,10000,1.98,1.41,0.41,-0.00,0
105,0,7,0.41,401,10000,1.98,1.41,0.41,-0.00,0
106,2,7,0.43,601,10000,2.01,1.42,0.43,-0.00,0
107,2,7,0.45,601,10000,2.04,1.43,0.45,-0.00,0
108,3,7,0.48,701,10000,2.13,1.46,0.48,-0.00,0
109,0,7,0.48,401,10000,2.13,1.46,0.48,-0.00,0
110,1,7,0.49,501,10000,2.12,1.46,0.49,-0.00,0
111,0,7,0.49,401,10000,2.12,1.46,0.49,-0.00,0
112,0,7,0.49,401,10000,2.10,1.45,0.49,-0.00,0
113,0,7,0.49,401,10000,2.10,1.45,0.49,-0.00,0
114,3,7,0.52,701,10000,2.19,1.48,0.51,-0.01,0
115,0,7,0.52,401,10000,2.19,1.48,0.51,-0.01,0
116,0,7,0.52,401,10000,2.19,1.48,0.51,-0.01,0
117,1,7,0.53,47,10000,2.19,1.48,0.52,-0.01,0
118,1,7,0.54,27,10000,2.17,1.47,0.53,-0.01,0
119,0,7,0.54,401,10000,2.17,1.47,0.53,-0.01,0
120,0,7,0.54,1,10000,2.17,1.47,0.53,-0.01,0
121,1,7,0.55,501,10000,2.17,1.47,0.54,-0.01,0
122,0,7,0.55,401,10000,2.19,1.48,0.54,-0.01,0
123,10,10,0.65,1401,10000,3.82,1.95,0.64,-0.01,0
124,0,10,0.65,401,10000,3.82,1.95,0.64,-0.01,0
125,3,10,0.68,701,10000,3.88,1.97,0.67,-0.01,0
