# Experiment Results
# Name,D_C2_wall_large_memory
# Architecture,11→256→3
# Memory Size,500000
# Wall Obstacle,True
# Final Record,29
# Final Avg (last 100),3.15
# Overall Avg,1.30
# Overall Std,3.08
# Block Averages (per 100 eps),"0.11, 0.22, 0.82, 2.19, 3.15"
# --- Observational Notes ---
# Training Stability (avg variance),23.17
# Max Performance Drop (forgetting),0.57
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,1,1,0.00,0.00,0.00,0.00,79
2,0,0,0.00,1,2,0.00,0.00,0.00,0.00,78
3,0,0,0.00,1,3,0.00,0.00,0.00,0.00,77
4,0,0,0.00,3,6,0.00,0.00,0.00,0.00,76
5,0,0,0.00,47,53,0.00,0.00,0.00,0.00,75
6,0,0,0.00,3,56,0.00,0.00,0.00,0.00,74
7,1,1,0.14,74,130,0.12,0.35,0.14,0.00,73
8,0,1,0.12,22,152,0.11,0.33,0.14,0.02,72
9,0,1,0.11,1,153,0.10,0.31,0.14,0.03,71
10,0,1,0.10,7,160,0.09,0.30,0.14,0.04,70
11,0,1,0.09,254,414,0.08,0.29,0.14,0.05,69
12,0,1,0.08,45,459,0.08,0.28,0.14,0.06,68
13,0,1,0.08,6,465,0.07,0.27,0.14,0.07,67
14,0,1,0.07,97,562,0.07,0.26,0.14,0.07,66
15,0,1,0.07,20,582,0.06,0.25,0.14,0.08,65
16,0,1,0.06,121,703,0.06,0.24,0.14,0.08,64
17,0,1,0.06,1,704,0.06,0.24,0.14,0.08,63
18,0,1,0.06,1,705,0.05,0.23,0.14,0.09,62
19,0,1,0.05,1,706,0.05,0.22,0.14,0.09,61
20,0,1,0.05,3,709,0.05,0.22,0.14,0.09,60
21,0,1,0.05,126,835,0.05,0.21,0.14,0.10,59
22,0,1,0.05,14,849,0.04,0.21,0.14,0.10,58
23,0,1,0.04,3,852,0.04,0.20,0.14,0.10,57
24,0,1,0.04,58,910,0.04,0.20,0.14,0.10,56
25,0,1,0.04,61,971,0.04,0.20,0.14,0.10,55
26,0,1,0.04,21,992,0.04,0.19,0.14,0.10,54
27,0,1,0.04,34,1026,0.04,0.19,0.14,0.11,53
28,0,1,0.04,51,1077,0.03,0.19,0.14,0.11,52
29,0,1,0.03,29,1106,0.03,0.18,0.14,0.11,51
30,0,1,0.03,165,1271,0.03,0.18,0.14,0.11,50
31,0,1,0.03,37,1308,0.03,0.18,0.14,0.11,49
32,0,1,0.03,99,1407,0.03,0.17,0.14,0.11,48
33,0,1,0.03,131,1538,0.03,0.17,0.14,0.11,47
34,0,1,0.03,3,1541,0.03,0.17,0.14,0.11,46
35,0,1,0.03,59,1600,0.03,0.17,0.14,0.11,45
36,0,1,0.03,108,1708,0.03,0.16,0.14,0.12,44
37,0,1,0.03,1,1709,0.03,0.16,0.14,0.12,43
38,0,1,0.03,35,1744,0.03,0.16,0.14,0.12,42
39,0,1,0.03,37,1781,0.02,0.16,0.14,0.12,41
40,0,1,0.03,81,1862,0.02,0.16,0.14,0.12,40
41,0,1,0.02,7,1869,0.02,0.15,0.14,0.12,39
42,0,1,0.02,77,1946,0.02,0.15,0.14,0.12,38
43,0,1,0.02,83,2029,0.02,0.15,0.14,0.12,37
44,1,1,0.05,133,2162,0.04,0.21,0.14,0.10,36
45,0,1,0.04,148,2310,0.04,0.21,0.14,0.10,35
46,0,1,0.04,45,2355,0.04,0.20,0.14,0.10,34
47,1,1,0.06,323,2678,0.06,0.24,0.14,0.08,33
48,0,1,0.06,198,2876,0.06,0.24,0.14,0.08,32
49,0,1,0.06,7,2883,0.06,0.24,0.14,0.08,31
50,0,1,0.06,91,2974,0.06,0.24,0.14,0.08,30
51,0,1,0.06,7,2981,0.06,0.24,0.14,0.08,29
52,0,1,0.06,10,2991,0.06,0.24,0.14,0.09,28
53,0,1,0.06,53,3044,0.06,0.24,0.14,0.09,27
54,1,1,0.07,32,3076,0.07,0.27,0.14,0.07,26
55,0,1,0.07,5,3081,0.07,0.27,0.14,0.07,25
56,1,1,0.09,81,3162,0.09,0.30,0.14,0.05,24
57,1,1,0.11,62,3224,0.09,0.30,0.14,0.04,23
58,0,1,0.10,12,3236,0.09,0.30,0.14,0.04,22
59,0,1,0.10,30,3266,0.09,0.30,0.14,0.04,21
60,0,1,0.10,151,3417,0.09,0.30,0.14,0.04,20
61,0,1,0.10,177,3594,0.09,0.30,0.14,0.04,19
62,0,1,0.10,401,3995,0.09,0.30,0.14,0.05,18
63,0,1,0.10,30,4025,0.09,0.30,0.14,0.05,17
64,0,1,0.09,69,4094,0.09,0.30,0.14,0.05,16
65,1,1,0.11,296,4390,0.11,0.32,0.14,0.04,15
66,0,1,0.11,80,4470,0.11,0.32,0.14,0.04,14
67,0,1,0.10,31,4501,0.11,0.32,0.14,0.04,13
68,0,1,0.10,41,4542,0.11,0.32,0.14,0.04,12
69,0,1,0.10,1,4543,0.11,0.32,0.14,0.04,11
70,0,1,0.10,79,4622,0.11,0.32,0.14,0.04,10
71,0,1,0.10,71,4693,0.11,0.32,0.14,0.04,9
72,0,1,0.10,290,4983,0.11,0.32,0.14,0.05,8
73,1,1,0.11,276,5259,0.12,0.35,0.14,0.03,7
74,0,1,0.11,401,5660,0.12,0.35,0.14,0.03,6
75,1,1,0.12,287,5947,0.13,0.37,0.14,0.02,5
76,0,1,0.12,76,6023,0.13,0.37,0.14,0.02,4
77,0,1,0.12,401,6424,0.13,0.37,0.14,0.03,3
78,0,1,0.12,221,6645,0.13,0.37,0.14,0.03,2
79,0,1,0.11,357,7002,0.13,0.37,0.14,0.03,1
80,0,1,0.11,92,7094,0.13,0.37,0.14,0.03,0
81,0,1,0.11,401,7495,0.13,0.37,0.14,0.03,0
82,0,1,0.11,401,7896,0.13,0.37,0.14,0.03,0
83,0,1,0.11,401,8297,0.13,0.37,0.14,0.03,0
84,0,1,0.11,401,8698,0.13,0.37,0.14,0.04,0
85,0,1,0.11,401,9099,0.13,0.37,0.14,0.04,0
86,0,1,0.10,401,9500,0.13,0.37,0.14,0.04,0
87,0,1,0.10,401,9901,0.13,0.37,0.14,0.04,0
88,0,1,0.10,401,10302,0.13,0.37,0.14,0.04,0
89,0,1,0.10,401,10703,0.13,0.37,0.14,0.04,0
90,0,1,0.10,401,11104,0.13,0.37,0.14,0.04,0
91,1,1,0.11,501,11605,0.15,0.38,0.14,0.03,0
92,0,1,0.11,401,12006,0.15,0.38,0.14,0.03,0
93,0,1,0.11,401,12407,0.15,0.38,0.14,0.04,0
94,1,1,0.12,501,12908,0.15,0.38,0.14,0.03,0
95,0,1,0.12,5,12913,0.15,0.38,0.14,0.03,0
96,0,1,0.11,401,13314,0.15,0.38,0.14,0.03,0
97,0,1,0.11,401,13715,0.13,0.37,0.14,0.03,0
98,0,1,0.11,401,14116,0.13,0.37,0.14,0.03,0
99,0,1,0.11,401,14517,0.13,0.37,0.14,0.03,0
100,0,1,0.11,401,14918,0.13,0.37,0.14,0.03,0
101,0,1,0.11,401,15319,0.13,0.37,0.14,0.03,0
102,2,2,0.13,601,15920,0.20,0.45,0.14,0.01,0
103,0,2,0.13,401,16321,0.20,0.45,0.14,0.01,0
104,0,2,0.13,401,16722,0.19,0.43,0.14,0.01,0
105,2,2,0.15,601,17323,0.25,0.50,0.15,-0.00,0
106,0,2,0.15,401,17724,0.24,0.49,0.15,-0.00,0
107,0,2,0.14,401,18125,0.23,0.48,0.15,0.01,0
108,0,2,0.14,401,18526,0.23,0.48,0.15,0.01,0
109,0,2,0.14,401,18927,0.23,0.48,0.15,0.01,0
