# Experiment Results
# Name,A1_baseline
# Architecture,11→256→3
# Memory Size,100000
# Wall Obstacle,False
# Final Record,71
# Final Avg (last 100),32.19
# Overall Avg,26.27
# Overall Std,15.75
# Block Averages (per 100 eps),"4.21, 33.14, 30.90, 30.90, 32.19"
# --- Observational Notes ---
# Training Stability (avg variance),157.17
# Max Performance Drop (forgetting),4.70
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,44,44,0.00,0.00,0.00,0.00,79
2,0,0,0.00,95,139,0.00,0.00,0.00,0.00,78
3,0,0,0.00,136,275,0.00,0.00,0.00,0.00,77
4,0,0,0.00,133,408,0.00,0.00,0.00,0.00,76
5,1,1,0.20,23,431,0.16,0.40,0.20,0.00,75
6,0,1,0.17,329,760,0.14,0.37,0.20,0.03,74
7,1,1,0.29,52,812,0.20,0.45,0.29,0.00,73
8,0,1,0.25,58,870,0.19,0.43,0.29,0.04,72
9,0,1,0.22,70,940,0.17,0.42,0.29,0.06,71
10,0,1,0.20,109,1049,0.16,0.40,0.29,0.09,70
11,0,1,0.18,27,1076,0.15,0.39,0.29,0.10,69
12,0,1,0.17,144,1220,0.14,0.37,0.29,0.12,68
13,0,1,0.15,170,1390,0.13,0.36,0.29,0.13,67
14,1,1,0.21,86,1476,0.17,0.41,0.29,0.07,66
15,0,1,0.20,143,1619,0.16,0.40,0.29,0.09,65
16,1,1,0.25,78,1697,0.19,0.43,0.29,0.04,64
17,0,1,0.24,79,1776,0.18,0.42,0.29,0.05,63
18,0,1,0.22,168,1944,0.17,0.42,0.29,0.06,62
19,0,1,0.21,206,2150,0.17,0.41,0.29,0.08,61
20,0,1,0.20,78,2228,0.16,0.40,0.29,0.09,60
21,0,1,0.19,94,2322,0.15,0.39,0.29,0.10,59
22,1,1,0.23,101,2423,0.18,0.42,0.29,0.06,58
23,1,1,0.26,182,2605,0.19,0.44,0.29,0.02,57
24,1,1,0.29,187,2792,0.21,0.45,0.29,0.00,56
25,1,1,0.32,80,2872,0.22,0.47,0.32,0.00,55
26,0,1,0.31,25,2897,0.21,0.46,0.32,0.01,54
27,1,1,0.33,197,3094,0.22,0.47,0.33,0.00,53
28,1,1,0.36,21,3115,0.23,0.48,0.36,0.00,52
29,1,1,0.38,240,3355,0.24,0.49,0.38,0.00,51
30,0,1,0.37,23,3378,0.23,0.48,0.38,0.01,50
31,0,1,0.35,142,3520,0.23,0.48,0.38,0.02,49
32,2,2,0.41,158,3678,0.30,0.55,0.41,0.00,48
33,1,2,0.42,145,3823,0.30,0.55,0.42,0.00,47
34,1,2,0.44,86,3909,0.31,0.55,0.44,0.00,46
35,1,2,0.46,202,4111,0.31,0.55,0.46,0.00,45
36,2,2,0.50,98,4209,0.36,0.60,0.50,0.00,44
37,0,2,0.49,27,4236,0.36,0.60,0.50,0.01,43
38,2,2,0.53,269,4505,0.41,0.64,0.53,0.00,42
39,1,2,0.54,89,4594,0.40,0.63,0.54,0.00,41
40,1,2,0.55,213,4807,0.40,0.63,0.55,0.00,40
41,1,2,0.56,114,4921,0.39,0.63,0.56,0.00,39
42,0,2,0.55,18,4939,0.39,0.62,0.56,0.01,38
43,1,2,0.56,156,5095,0.39,0.62,0.56,0.00,37
44,1,2,0.57,213,5308,0.38,0.62,0.57,0.00,36
45,2,2,0.60,46,5354,0.42,0.65,0.60,0.00,35
46,1,2,0.61,133,5487,0.41,0.64,0.61,0.00,34
47,1,2,0.62,66,5553,0.41,0.64,0.62,0.00,33
48,1,2,0.62,165,5718,0.40,0.63,0.62,0.00,32
49,1,2,0.63,157,5875,0.40,0.63,0.63,0.00,31
50,3,3,0.68,154,6029,0.50,0.71,0.68,0.00,30
51,2,3,0.71,83,6112,0.52,0.72,0.71,0.00,29
52,4,4,0.77,294,6406,0.72,0.85,0.77,0.00,28
53,1,4,0.77,197,6603,0.71,0.84,0.77,0.00,27
54,6,6,0.87,254,6857,1.22,1.10,0.87,0.00,26
55,1,6,0.87,28,6885,1.22,1.10,0.87,0.00,25
56,1,6,0.88,31,6916,1.20,1.09,0.88,0.00,24
57,0,6,0.86,51,6967,1.22,1.10,0.88,0.02,23
58,1,6,0.86,71,7038,1.20,1.09,0.88,0.01,22
59,2,6,0.88,232,7270,1.20,1.10,0.88,0.00,21
60,2,6,0.90,45,7315,1.20,1.09,0.90,0.00,20
61,3,6,0.93,126,7441,1.25,1.12,0.93,0.00,19
62,0,6,0.92,24,7465,1.25,1.12,0.93,0.02,18
63,2,6,0.94,149,7614,1.24,1.11,0.94,0.00,17
64,0,6,0.92,31,7645,1.27,1.12,0.94,0.01,16
65,0,6,0.91,64,7709,1.27,1.12,0.94,0.03,15
66,0,6,0.89,189,7898,1.29,1.14,0.94,0.04,14
67,1,6,0.90,71,7969,1.27,1.12,0.94,0.04,13
68,1,6,0.90,114,8083,1.24,1.11,0.94,0.04,12
69,2,6,0.91,168,8251,1.23,1.11,0.94,0.02,11
70,5,6,0.97,232,8483,1.48,1.22,0.97,0.00,10
71,4,6,1.01,238,8721,1.59,1.26,1.01,0.00,9
72,6,6,1.08,291,9012,2.01,1.42,1.08,0.00,8
73,1,6,1.08,163,9175,2.01,1.42,1.08,0.00,7
74,12,12,1.23,756,9931,4.18,2.04,1.23,0.00,6
75,2,12,1.24,423,10354,4.17,2.04,1.24,0.00,5
76,1,12,1.24,87,10441,4.12,2.03,1.24,0.00,4
77,5,12,1.29,128,10569,4.32,2.08,1.29,0.00,3
78,4,12,1.32,258,10827,4.40,2.10,1.32,0.00,2
79,0,12,1.30,401,11228,4.45,2.11,1.32,0.02,1
80,18,18,1.51,1267,12495,9.48,3.08,1.51,0.00,0
81,1,18,1.51,501,12996,9.41,3.07,1.51,0.01,0
82,0,18,1.49,401,13397,9.51,3.08,1.51,0.02,0
83,4,18,1.52,801,14198,9.54,3.09,1.52,0.00,0
84,4,18,1.55,801,14999,9.57,3.09,1.55,0.00,0
85,16,18,1.72,566,15565,13.20,3.63,1.72,0.00,0
86,5,18,1.76,212,15777,13.30,3.65,1.76,0.00,0
87,0,18,1.74,401,16178,13.30,3.65,1.76,0.02,0
88,0,18,1.72,401,16579,13.44,3.67,1.76,0.04,0
89,7,18,1.78,386,16965,13.75,3.71,1.78,0.00,0
90,6,18,1.82,1001,17966,13.89,3.73,1.82,0.00,0
91,1,18,1.81,501,18467,13.89,3.73,1.82,0.01,0
92,11,18,1.91,260,18727,15.02,3.88,1.91,0.00,0
93,25,25,2.16,986,19713,24.33,4.93,2.16,0.00,0
94,0,25,2.14,401,20114,24.45,4.94,2.16,0.02,0
95,31,31,2.44,739,20853,39.17,6.26,2.44,0.00,0
96,39,39,2.82,1019,21872,62.76,7.92,2.82,0.00,0
97,9,39,2.89,1301,23173,62.78,7.92,2.89,0.00,0
98,29,39,3.15,788,23961,73.64,8.58,3.15,0.00,0
99,48,48,3.61,1044,25005,108.33,10.41,3.61,0.00,0
100,64,64,4.21,1466,26471,172.67,13.14,4.21,0.00,0
101,31,64,4.52,567,27038,182.50,13.51,4.48,-0.04,0
102,9,64,4.61,166,27204,182.12,13.50,4.56,-0.05,0
103,30,64,4.91,700,27904,190.00,13.78,4.86,-0.05,0
104,45,64,5.36,943,28847,215.13,14.67,5.31,-0.05,0
105,48,64,5.83,1244,30091,241.92,15.55,5.78,-0.05,0
106,46,64,6.29,962,31053,264.12,16.25,6.23,-0.06,0
107,31,64,6.59,616,31669,268.54,16.39,6.53,-0.06,0
108,45,64,7.04,909,32578,286.71,16.93,6.97,-0.07,0
109,50,64,7.54,1297,33875,310.51,17.62,7.47,-0.07,0
110,47,64,8.01,1006,34881,328.46,18.12,7.93,-0.08,0
111,42,64,8.43,758,35639,339.58,18.43,8.35,-0.08,0
112,17,64,8.60,303,35942,334.53,18.29,8.51,-0.09,0
113,34,64,8.94,751,36693,336.55,18.35,8.85,-0.09,0
114,29,64,9.22,673,37366,333.62,18.27,9.14,-0.08,0
115,29,64,9.51,668,38034,330.01,18.17,9.42,-0.09,0
116,20,64,9.70,343,38377,323.53,17.99,9.61,-0.09,0
117,9,64,9.79,203,38580,319.25,17.87,9.69,-0.10,0
118,16,64,9.95,301,38881,313.18,17.70,9.85,-0.10,0
119,45,64,10.40,1032,39913,320.60,17.91,10.30,-0.10,0
120,39,64,10.79,863,40776,323.37,17.98,10.68,-0.11,0
121,52,64,11.31,973,41749,337.23,18.36,11.20,-0.11,0
122,36,64,11.66,803,42552,336.56,18.35,11.55,-0.11,0
123,47,64,12.12,1017,43569,339.65,18.43,12.01,-0.11,0
124,24,64,12.35,439,44008,337.30,18.37,12.24,-0.11,0
125,39,64,12.73,800,44808,333.02,18.25,12.61,-0.12,0
126,37,64,13.10,761,45569,325.65,18.05,12.97,-0.13,0
127,21,64,13.30,422,45991,318.20,17.84,13.18,-0.12,0
128,39,64,13.68,763,46754,313.09,17.69,13.55,-0.13,0
129,22,64,13.89,323,47077,300.14,17.32,13.76,-0.13,0
130,35,64,14.24,730,47807,300.40,17.33,14.10,-0.14,0
131,29,64,14.53,590,48397,287.45,16.95,14.39,-0.14,0
132,36,64,14.87,704,49101,274.21,16.56,14.74,-0.13,0
133,51,64,15.37,1063,50164,273.21,16.53,15.23,-0.14,0
134,24,64,15.60,433,50597,261.45,16.17,15.46,-0.14,0
135,33,64,15.92,677,51274,258.34,16.07,15.77,-0.15,0
136,34,64,16.24,667,51941,246.71,15.71,16.10,-0.14,0
137,49,64,16.73,1131,53072,235.32,15.34,16.56,-0.17,0
138,31,64,17.02,513,53585,215.96,14.70,16.87,-0.15,0
139,29,64,17.30,560,54145,203.96,14.28,17.14,-0.16,0
140,40,64,17.69,858,55003,191.45,13.84,17.52,-0.17,0
141,28,64,17.96,523,55526,171.67,13.10,17.79,-0.17,0
142,50,64,18.46,975,56501,167.04,12.92,18.28,-0.18,0
143,47,64,18.92,1135,57636,168.73,12.99,18.74,-0.18,0
