# Experiment Results
# Name,B2_deep_4hidden
# Architecture,11→256→256→128→64→3
# Memory Size,100000
# Wall Obstacle,False
# Final Record,2
# Final Avg (last 100),0.01
# Overall Avg,0.07
# Overall Std,0.26
# Block Averages (per 100 eps),"0.21, 0.02, 0.05, 0.04, 0.01"
# --- Observational Notes ---
# Training Stability (avg variance),0.01
# Max Performance Drop (forgetting),0.39
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,111,111,0.00,0.00,0.00,0.00,79
2,0,0,0.00,204,315,0.00,0.00,0.00,0.00,78
3,1,1,0.33,109,424,0.22,0.47,0.33,0.00,77
4,0,1,0.25,77,501,0.19,0.43,0.33,0.08,76
5,1,1,0.40,70,571,0.24,0.49,0.40,0.00,75
6,0,1,0.33,113,684,0.22,0.47,0.40,0.07,74
7,0,1,0.29,108,792,0.20,0.45,0.40,0.11,73
8,0,1,0.25,175,967,0.19,0.43,0.40,0.15,72
9,0,1,0.22,62,1029,0.17,0.42,0.40,0.18,71
10,0,1,0.20,82,1111,0.16,0.40,0.40,0.20,70
11,0,1,0.18,136,1247,0.15,0.39,0.40,0.22,69
12,1,1,0.25,112,1359,0.19,0.43,0.40,0.15,68
13,1,1,0.31,130,1489,0.21,0.46,0.40,0.09,67
14,0,1,0.29,49,1538,0.20,0.45,0.40,0.11,66
15,0,1,0.27,82,1620,0.20,0.44,0.40,0.13,65
16,0,1,0.25,73,1693,0.19,0.43,0.40,0.15,64
17,0,1,0.24,202,1895,0.18,0.42,0.40,0.16,63
18,0,1,0.22,111,2006,0.17,0.42,0.40,0.18,62
19,0,1,0.21,82,2088,0.17,0.41,0.40,0.19,61
20,0,1,0.20,43,2131,0.16,0.40,0.40,0.20,60
21,0,1,0.19,216,2347,0.15,0.39,0.40,0.21,59
22,0,1,0.18,77,2424,0.15,0.39,0.40,0.22,58
23,1,1,0.22,62,2486,0.17,0.41,0.40,0.18,57
24,0,1,0.21,137,2623,0.16,0.41,0.40,0.19,56
25,0,1,0.20,181,2804,0.16,0.40,0.40,0.20,55
26,1,1,0.23,222,3026,0.18,0.42,0.40,0.17,54
27,0,1,0.22,98,3124,0.17,0.42,0.40,0.18,53
28,0,1,0.21,64,3188,0.17,0.41,0.40,0.19,52
29,0,1,0.21,89,3277,0.16,0.41,0.40,0.19,51
30,0,1,0.20,43,3320,0.16,0.40,0.40,0.20,50
31,0,1,0.19,110,3430,0.16,0.40,0.40,0.21,49
32,0,1,0.19,188,3618,0.15,0.39,0.40,0.21,48
33,0,1,0.18,384,4002,0.15,0.39,0.40,0.22,47
34,0,1,0.18,179,4181,0.15,0.38,0.40,0.22,46
35,0,1,0.17,14,4195,0.14,0.38,0.40,0.23,45
36,0,1,0.17,218,4413,0.14,0.37,0.40,0.23,44
37,0,1,0.16,126,4539,0.14,0.37,0.40,0.24,43
38,0,1,0.16,164,4703,0.13,0.36,0.40,0.24,42
39,0,1,0.15,127,4830,0.13,0.36,0.40,0.25,41
40,0,1,0.15,122,4952,0.13,0.36,0.40,0.25,40
41,0,1,0.15,141,5093,0.12,0.35,0.40,0.25,39
42,0,1,0.14,34,5127,0.12,0.35,0.40,0.26,38
43,0,1,0.14,130,5257,0.12,0.35,0.40,0.26,37
44,0,1,0.14,79,5336,0.12,0.34,0.40,0.26,36
45,0,1,0.13,365,5701,0.12,0.34,0.40,0.27,35
46,1,1,0.15,379,6080,0.13,0.36,0.40,0.25,34
47,1,1,0.17,251,6331,0.14,0.38,0.40,0.23,33
48,0,1,0.17,40,6371,0.14,0.37,0.40,0.23,32
49,0,1,0.16,306,6677,0.14,0.37,0.40,0.24,31
50,1,1,0.18,99,6776,0.15,0.38,0.40,0.22,30
51,0,1,0.18,335,7111,0.15,0.38,0.40,0.22,29
52,1,1,0.19,338,7449,0.16,0.40,0.40,0.21,28
53,0,1,0.19,32,7481,0.15,0.38,0.40,0.21,27
54,0,1,0.19,297,7778,0.15,0.38,0.40,0.21,26
55,1,1,0.20,88,7866,0.15,0.38,0.40,0.20,25
56,1,1,0.21,166,8032,0.16,0.40,0.40,0.19,24
57,1,1,0.23,35,8067,0.17,0.41,0.40,0.17,23
58,0,1,0.22,24,8091,0.17,0.41,0.40,0.18,22
59,1,1,0.24,153,8244,0.18,0.43,0.40,0.16,21
60,0,1,0.23,141,8385,0.18,0.43,0.40,0.17,20
61,1,1,0.25,154,8539,0.19,0.44,0.40,0.15,19
62,1,1,0.26,170,8709,0.19,0.44,0.40,0.14,18
63,0,1,0.25,65,8774,0.18,0.43,0.40,0.15,17
64,1,1,0.27,207,8981,0.19,0.44,0.40,0.13,16
65,0,1,0.26,179,9160,0.19,0.44,0.40,0.14,15
66,1,1,0.27,394,9554,0.20,0.45,0.40,0.13,14
67,0,1,0.27,16,9570,0.20,0.45,0.40,0.13,13
68,0,1,0.26,401,9971,0.20,0.45,0.40,0.14,12
69,1,1,0.28,241,10212,0.21,0.46,0.40,0.12,11
70,0,1,0.27,401,10613,0.21,0.46,0.40,0.13,10
71,1,1,0.28,59,10672,0.22,0.47,0.40,0.12,9
72,0,1,0.28,401,11073,0.22,0.47,0.40,0.12,8
73,0,1,0.27,205,11278,0.21,0.46,0.40,0.13,7
74,0,1,0.27,54,11332,0.21,0.46,0.40,0.13,6
75,0,1,0.27,401,11733,0.21,0.46,0.40,0.13,5
76,0,1,0.26,73,11806,0.20,0.45,0.40,0.14,4
77,0,1,0.26,401,12207,0.20,0.45,0.40,0.14,3
78,0,1,0.26,401,12608,0.20,0.45,0.40,0.14,2
79,1,1,0.27,121,12729,0.21,0.46,0.40,0.13,1
