# Experiment Results
# Name,B3_deep_6hidden
# Architecture,11→256→256→256→128→128→64→3
# Memory Size,100000
# Wall Obstacle,False
# Final Record,1
# Final Avg (last 100),0.00
# Overall Avg,0.03
# Overall Std,0.16
# Block Averages (per 100 eps),"0.11, 0.02, 0.00, 0.01, 0.00"
# --- Observational Notes ---
# Training Stability (avg variance),0.00
# Max Performance Drop (forgetting),0.31
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,89,89,0.00,0.00,0.00,0.00,79
2,0,0,0.00,107,196,0.00,0.00,0.00,0.00,78
3,0,0,0.00,187,383,0.00,0.00,0.00,0.00,77
4,0,0,0.00,217,600,0.00,0.00,0.00,0.00,76
5,0,0,0.00,93,693,0.00,0.00,0.00,0.00,75
6,0,0,0.00,12,705,0.00,0.00,0.00,0.00,74
7,0,0,0.00,209,914,0.00,0.00,0.00,0.00,73
8,1,1,0.12,104,1018,0.11,0.33,0.12,0.00,72
9,0,1,0.11,67,1085,0.10,0.31,0.12,0.01,71
10,0,1,0.10,41,1126,0.09,0.30,0.12,0.02,70
11,1,1,0.18,376,1502,0.15,0.39,0.18,0.00,69
12,0,1,0.17,87,1589,0.14,0.37,0.18,0.02,68
13,0,1,0.15,55,1644,0.13,0.36,0.18,0.03,67
14,0,1,0.14,253,1897,0.12,0.35,0.18,0.04,66
15,1,1,0.20,81,1978,0.16,0.40,0.20,0.00,65
16,1,1,0.25,22,2000,0.19,0.43,0.25,0.00,64
17,1,1,0.29,43,2043,0.21,0.46,0.29,0.00,63
18,0,1,0.28,383,2426,0.20,0.45,0.29,0.02,62
19,0,1,0.26,20,2446,0.19,0.44,0.29,0.03,61
20,0,1,0.25,121,2567,0.19,0.43,0.29,0.04,60
21,1,1,0.29,155,2722,0.20,0.45,0.29,0.01,59
22,0,1,0.27,32,2754,0.20,0.45,0.29,0.02,58
23,1,1,0.30,250,3004,0.21,0.46,0.30,0.00,57
24,0,1,0.29,124,3128,0.21,0.45,0.30,0.01,56
25,0,1,0.28,168,3296,0.20,0.45,0.30,0.02,55
26,1,1,0.31,54,3350,0.21,0.46,0.31,0.00,54
27,0,1,0.30,122,3472,0.21,0.46,0.31,0.01,53
28,0,1,0.29,401,3873,0.20,0.45,0.31,0.02,52
29,0,1,0.28,12,3885,0.20,0.45,0.31,0.03,51
30,0,1,0.27,294,4179,0.20,0.44,0.31,0.04,50
31,0,1,0.26,43,4222,0.19,0.44,0.31,0.05,49
32,0,1,0.25,185,4407,0.19,0.43,0.31,0.06,48
33,0,1,0.24,293,4700,0.18,0.43,0.31,0.07,47
34,0,1,0.24,37,4737,0.18,0.42,0.31,0.07,46
35,0,1,0.23,401,5138,0.18,0.42,0.31,0.08,45
36,0,1,0.22,145,5283,0.17,0.42,0.31,0.09,44
37,0,1,0.22,101,5384,0.17,0.41,0.31,0.09,43
38,0,1,0.21,114,5498,0.17,0.41,0.31,0.10,42
39,0,1,0.21,401,5899,0.16,0.40,0.31,0.10,41
40,0,1,0.20,103,6002,0.16,0.40,0.31,0.11,40
41,0,1,0.20,101,6103,0.16,0.40,0.31,0.11,39
42,0,1,0.19,292,6395,0.15,0.39,0.31,0.12,38
43,0,1,0.19,33,6428,0.15,0.39,0.31,0.12,37
44,0,1,0.18,219,6647,0.15,0.39,0.31,0.13,36
