# Experiment Results
# Name,B1_wide
# Architecture,11→512→3
# Memory Size,100000
# Wall Obstacle,False
# Final Record,70
# Final Avg (last 100),32.07
# Overall Avg,27.15
# Overall Std,17.08
# Block Averages (per 100 eps),"2.82, 34.44, 34.03, 32.38, 32.07"
# --- Observational Notes ---
# Training Stability (avg variance),173.86
# Max Performance Drop (forgetting),4.43
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,94,94,0.00,0.00,0.00,0.00,79
2,1,1,0.50,228,322,0.25,0.50,0.50,0.00,78
3,0,1,0.33,78,400,0.22,0.47,0.50,0.17,77
4,1,1,0.50,128,528,0.25,0.50,0.50,0.00,76
5,0,1,0.40,111,639,0.24,0.49,0.50,0.10,75
6,0,1,0.33,88,727,0.22,0.47,0.50,0.17,74
7,0,1,0.29,401,1128,0.20,0.45,0.50,0.21,73
8,0,1,0.25,117,1245,0.19,0.43,0.50,0.25,72
9,0,1,0.22,40,1285,0.17,0.42,0.50,0.28,71
10,1,1,0.30,100,1385,0.21,0.46,0.50,0.20,70
11,1,1,0.36,54,1439,0.23,0.48,0.50,0.14,69
12,1,1,0.42,257,1696,0.24,0.49,0.50,0.08,68
13,0,1,0.38,168,1864,0.24,0.49,0.50,0.12,67
14,1,1,0.43,152,2016,0.24,0.49,0.50,0.07,66
15,0,1,0.40,45,2061,0.24,0.49,0.50,0.10,65
16,0,1,0.38,37,2098,0.23,0.48,0.50,0.12,64
17,1,1,0.41,323,2421,0.24,0.49,0.50,0.09,63
18,1,1,0.44,168,2589,0.25,0.50,0.50,0.06,62
19,1,1,0.47,351,2940,0.25,0.50,0.50,0.03,61
20,2,2,0.55,90,3030,0.35,0.59,0.55,0.00,60
21,0,2,0.52,39,3069,0.34,0.59,0.55,0.03,59
22,1,2,0.55,36,3105,0.34,0.58,0.55,0.00,58
23,0,2,0.52,81,3186,0.34,0.58,0.55,0.03,57
24,0,2,0.50,134,3320,0.33,0.58,0.55,0.05,56
25,1,2,0.52,222,3542,0.33,0.57,0.55,0.03,55
26,1,2,0.54,7,3549,0.33,0.57,0.55,0.01,54
27,1,2,0.56,91,3640,0.32,0.57,0.56,0.00,53
28,0,2,0.54,17,3657,0.32,0.57,0.56,0.02,52
29,2,2,0.59,181,3838,0.38,0.62,0.59,0.00,51
30,0,2,0.57,33,3871,0.38,0.62,0.59,0.02,50
31,0,2,0.55,191,4062,0.38,0.61,0.59,0.04,49
32,2,2,0.59,103,4165,0.43,0.65,0.59,0.00,48
33,0,2,0.58,51,4216,0.43,0.65,0.59,0.02,47
34,0,2,0.56,128,4344,0.42,0.65,0.59,0.03,46
35,0,2,0.54,57,4401,0.42,0.65,0.59,0.05,45
36,0,2,0.53,25,4426,0.42,0.64,0.59,0.07,44
37,0,2,0.51,59,4485,0.41,0.64,0.59,0.08,43
38,0,2,0.50,59,4544,0.41,0.64,0.59,0.09,42
39,0,2,0.49,63,4607,0.40,0.64,0.59,0.11,41
40,0,2,0.47,80,4687,0.40,0.63,0.59,0.12,40
41,0,2,0.46,84,4771,0.40,0.63,0.59,0.13,39
42,0,2,0.45,19,4790,0.39,0.62,0.59,0.14,38
43,2,2,0.49,319,5109,0.44,0.66,0.59,0.11,37
44,0,2,0.48,108,5217,0.43,0.66,0.59,0.12,36
45,3,3,0.53,154,5371,0.56,0.75,0.59,0.06,35
46,0,3,0.52,126,5497,0.55,0.74,0.59,0.07,34
47,1,3,0.53,42,5539,0.55,0.74,0.59,0.06,33
48,0,3,0.52,48,5587,0.54,0.74,0.59,0.07,32
49,0,3,0.51,68,5655,0.54,0.73,0.59,0.08,31
50,1,3,0.52,156,5811,0.53,0.73,0.59,0.07,30
51,0,3,0.51,29,5840,0.53,0.73,0.59,0.08,29
52,0,3,0.50,106,5946,0.53,0.73,0.59,0.09,28
53,1,3,0.51,57,6003,0.53,0.73,0.59,0.08,27
