# Experiment Results
# Name,C2_large_memory
# Architecture,11→256→3
# Memory Size,500000
# Wall Obstacle,False
# Final Record,77
# Final Avg (last 100),34.27
# Overall Avg,27.80
# Overall Std,16.64
# Block Averages (per 100 eps),"5.20, 36.18, 31.74, 31.62, 34.27"
# --- Observational Notes ---
# Training Stability (avg variance),184.06
# Max Performance Drop (forgetting),5.78
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,53,53,0.00,0.00,0.00,0.00,79
2,0,0,0.00,40,93,0.00,0.00,0.00,0.00,78
3,0,0,0.00,35,128,0.00,0.00,0.00,0.00,77
4,0,0,0.00,50,178,0.00,0.00,0.00,0.00,76
5,1,1,0.20,28,206,0.16,0.40,0.20,0.00,75
6,0,1,0.17,77,283,0.14,0.37,0.20,0.03,74
7,1,1,0.29,58,341,0.20,0.45,0.29,0.00,73
8,0,1,0.25,48,389,0.19,0.43,0.29,0.04,72
9,0,1,0.22,18,407,0.17,0.42,0.29,0.06,71
10,0,1,0.20,81,488,0.16,0.40,0.29,0.09,70
11,0,1,0.18,37,525,0.15,0.39,0.29,0.10,69
12,0,1,0.17,71,596,0.14,0.37,0.29,0.12,68
13,0,1,0.15,45,641,0.13,0.36,0.29,0.13,67
14,0,1,0.14,35,676,0.12,0.35,0.29,0.14,66
15,0,1,0.13,170,846,0.12,0.34,0.29,0.15,65
16,1,1,0.19,33,879,0.15,0.39,0.29,0.10,64
17,1,1,0.24,190,1069,0.18,0.42,0.29,0.05,63
18,0,1,0.22,51,1120,0.17,0.42,0.29,0.06,62
19,1,1,0.26,48,1168,0.19,0.44,0.29,0.02,61
20,1,1,0.30,88,1256,0.21,0.46,0.30,0.00,60
21,0,1,0.29,124,1380,0.20,0.45,0.30,0.01,59
22,1,1,0.32,90,1470,0.22,0.47,0.32,0.00,58
23,1,1,0.35,73,1543,0.23,0.48,0.35,0.00,57
24,0,1,0.33,124,1667,0.22,0.47,0.35,0.01,56
25,1,1,0.36,127,1794,0.23,0.48,0.36,0.00,55
26,0,1,0.35,67,1861,0.23,0.48,0.36,0.01,54
27,1,1,0.37,102,1963,0.23,0.48,0.37,0.00,53
28,0,1,0.36,58,2021,0.23,0.48,0.37,0.01,52
29,1,1,0.38,63,2084,0.24,0.49,0.38,0.00,51
30,0,1,0.37,64,2148,0.23,0.48,0.38,0.01,50
31,1,1,0.39,348,2496,0.24,0.49,0.39,0.00,49
32,0,1,0.38,42,2538,0.23,0.48,0.39,0.01,48
33,1,1,0.39,125,2663,0.24,0.49,0.39,0.00,47
34,0,1,0.38,305,2968,0.24,0.49,0.39,0.01,46
35,1,1,0.40,81,3049,0.24,0.49,0.40,0.00,45
36,0,1,0.39,73,3122,0.24,0.49,0.40,0.01,44
37,1,1,0.41,289,3411,0.24,0.49,0.41,0.00,43
38,1,1,0.42,70,3481,0.24,0.49,0.42,0.00,42
39,0,1,0.41,26,3507,0.24,0.49,0.42,0.01,41
40,0,1,0.40,57,3564,0.24,0.49,0.42,0.02,40
41,0,1,0.39,21,3585,0.24,0.49,0.42,0.03,39
42,2,2,0.43,181,3766,0.29,0.54,0.43,0.00,38
43,0,2,0.42,82,3848,0.29,0.54,0.43,0.01,37
44,0,2,0.41,254,4102,0.29,0.54,0.43,0.02,36
45,1,2,0.42,85,4187,0.29,0.54,0.43,0.01,35
46,1,2,0.43,45,4232,0.29,0.54,0.43,0.00,34
47,0,2,0.43,165,4397,0.29,0.54,0.43,0.01,33
48,0,2,0.42,18,4415,0.28,0.53,0.43,0.02,32
49,0,2,0.41,48,4463,0.28,0.53,0.43,0.03,31
50,0,2,0.40,141,4604,0.28,0.53,0.43,0.03,30
51,1,2,0.41,68,4672,0.28,0.53,0.43,0.02,29
52,2,2,0.44,361,5033,0.33,0.57,0.44,0.00,28
53,0,2,0.43,24,5057,0.33,0.57,0.44,0.01,27
54,0,2,0.43,342,5399,0.33,0.57,0.44,0.02,26
55,0,2,0.42,23,5422,0.33,0.57,0.44,0.02,25
56,1,2,0.43,34,5456,0.33,0.57,0.44,0.01,24
57,0,2,0.42,54,5510,0.33,0.57,0.44,0.02,23
58,1,2,0.43,239,5749,0.33,0.57,0.44,0.01,22
59,1,2,0.44,267,6016,0.33,0.57,0.44,0.00,21
60,2,2,0.47,154,6170,0.37,0.61,0.47,0.00,20
61,3,3,0.51,421,6591,0.48,0.70,0.51,0.00,19
62,1,3,0.52,102,6693,0.48,0.69,0.52,0.00,18
63,1,3,0.52,52,6745,0.48,0.69,0.52,0.00,17
64,0,3,0.52,82,6827,0.48,0.69,0.52,0.01,16
65,1,3,0.52,86,6913,0.47,0.69,0.52,0.00,15
66,2,3,0.55,203,7116,0.50,0.71,0.55,0.00,14
67,1,3,0.55,22,7138,0.50,0.71,0.55,0.00,13
68,3,3,0.59,625,7763,0.60,0.78,0.59,0.00,12
69,2,3,0.61,186,7949,0.63,0.80,0.61,0.00,11
70,7,7,0.70,237,8186,1.40,1.18,0.70,0.00,10
71,5,7,0.76,242,8428,1.72,1.31,0.76,0.00,9
72,2,7,0.78,306,8734,1.74,1.32,0.78,0.00,8
73,0,7,0.77,82,8816,1.76,1.33,0.78,0.01,7
74,0,7,0.76,119,8935,1.76,1.33,0.78,0.02,6
75,0,7,0.75,401,9336,1.78,1.33,0.78,0.03,5
76,2,7,0.76,47,9383,1.78,1.33,0.78,0.01,4
77,1,7,0.77,262,9645,1.78,1.33,0.78,0.01,3
78,11,11,0.90,553,10198,3.72,1.93,0.90,0.00,2
79,1,11,0.90,49,10247,3.72,1.93,0.90,0.00,1
80,23,23,1.18,1124,11371,12.98,3.60,1.18,0.00,0
81,9,23,1.27,1301,12672,14.03,3.75,1.27,0.00,0
82,0,23,1.26,401,13073,14.03,3.75,1.27,0.02,0
83,22,23,1.51,2601,15674,21.98,4.69,1.51,0.00,0
84,2,23,1.51,601,16275,21.88,4.68,1.51,0.00,0
85,0,23,1.49,401,16676,21.95,4.69,1.51,0.02,0
86,0,23,1.48,401,17077,21.95,4.69,1.51,0.04,0
87,27,27,1.77,744,17821,33.89,5.82,1.77,0.00,0
88,8,27,1.84,208,18029,34.35,5.86,1.84,0.00,0
89,9,27,1.92,362,18391,34.89,5.91,1.92,0.00,0
90,24,27,2.17,596,18987,43.20,6.57,2.17,0.00,0
91,25,27,2.42,854,19841,51.87,7.20,2.42,0.00,0
92,26,27,2.67,671,20512,61.17,7.82,2.67,0.00,0
93,19,27,2.85,469,20981,64.78,8.05,2.85,0.00,0
94,27,27,3.11,743,21724,73.73,8.59,3.11,0.00,0
95,37,37,3.46,1008,22732,92.68,9.63,3.46,0.00,0
96,22,37,3.66,607,23339,96.96,9.85,3.66,0.00,0
97,31,37,3.94,842,24181,107.58,10.37,3.94,0.00,0
98,38,38,4.29,980,25161,124.88,11.17,4.29,0.00,0
99,39,39,4.64,1078,26239,142.21,11.93,4.64,0.00,0
100,61,61,5.20,1331,27570,193.72,13.92,5.20,0.00,0
101,34,61,5.54,751,28321,203.18,14.25,5.49,-0.05,0
102,41,61,5.95,887,29208,219.49,14.82,5.89,-0.06,0
103,46,61,6.41,965,30173,239.91,15.49,6.35,-0.06,0
104,40,61,6.81,862,31035,251.49,15.86,6.74,-0.07,0
105,40,61,7.20,1019,32054,261.80,16.18,7.14,-0.06,0
106,42,61,7.62,890,32944,273.49,16.54,7.54,-0.08,0
107,20,61,7.81,430,33374,269.51,16.42,7.74,-0.07,0
108,39,61,8.20,704,34078,276.26,16.62,8.12,-0.08,0
109,35,61,8.55,741,34819,278.60,16.69,8.47,-0.08,0
110,37,61,8.92,704,35523,282.14,16.80,8.83,-0.09,0
111,21,61,9.13,366,35889,278.18,16.68,9.04,-0.09,0
112,41,61,9.54,1023,36912,282.85,16.82,9.45,-0.09,0
113,19,61,9.73,416,37328,276.61,16.63,9.63,-0.10,0
114,32,61,10.05,699,38027,272.57,16.51,9.95,-0.10,0
115,35,61,10.40,674,38701,270.09,16.43,10.30,-0.10,0
116,32,61,10.71,534,39235,265.94,16.31,10.61,-0.10,0
117,38,61,11.08,808,40043,263.53,16.23,10.98,-0.10,0
118,44,61,11.52,883,40926,266.14,16.31,11.41,-0.11,0
119,67,67,12.18,1676,42602,296.12,17.21,12.07,-0.11,0
120,41,67,12.58,955,43557,296.17,17.21,12.47,-0.11,0
121,31,67,12.89,716,44273,289.35,17.01,12.76,-0.13,0
122,26,67,13.14,583,44856,278.73,16.70,13.02,-0.12,0
123,27,67,13.40,510,45366,265.69,16.30,13.28,-0.12,0
124,38,67,13.78,772,46138,254.72,15.96,13.64,-0.14,0
125,50,67,14.27,1320,47458,250.52,15.83,14.14,-0.13,0
126,29,67,14.56,586,48044,237.16,15.40,14.42,-0.14,0
127,24,67,14.79,468,48512,222.56,14.92,14.65,-0.14,0
128,33,67,15.12,696,49208,216.56,14.72,14.97,-0.15,0
129,47,67,15.58,1158,50366,206.44,14.37,15.44,-0.14,0
130,33,67,15.91,733,51099,205.61,14.34,15.75,-0.16,0
131,32,67,16.22,536,51635,196.52,14.02,16.07,-0.15,0
132,25,67,16.47,575,52210,178.15,13.35,16.31,-0.16,0
