# Experiment Results
# Name,C1_small_memory
# Architecture,11→256→3
# Memory Size,10000
# Wall Obstacle,False
# Final Record,70
# Final Avg (last 100),33.17
# Overall Avg,27.51
# Overall Std,16.66
# Block Averages (per 100 eps),"4.46, 33.06, 32.69, 34.15, 33.17"
# --- Observational Notes ---
# Training Stability (avg variance),141.51
# Max Performance Drop (forgetting),1.97
# Exploration Ended at Episode,75

Episode,Score,Record,Avg_Last_100,Steps,Memory_Usage,Variance_50,Std_50,Peak_Avg,Performance_Drop,Epsilon
1,0,0,0.00,72,72,0.00,0.00,0.00,0.00,79
2,0,0,0.00,113,185,0.00,0.00,0.00,0.00,78
3,0,0,0.00,109,294,0.00,0.00,0.00,0.00,77
4,0,0,0.00,40,334,0.00,0.00,0.00,0.00,76
5,0,0,0.00,72,406,0.00,0.00,0.00,0.00,75
6,0,0,0.00,69,475,0.00,0.00,0.00,0.00,74
7,0,0,0.00,133,608,0.00,0.00,0.00,0.00,73
8,0,0,0.00,47,655,0.00,0.00,0.00,0.00,72
9,0,0,0.00,53,708,0.00,0.00,0.00,0.00,71
10,0,0,0.00,54,762,0.00,0.00,0.00,0.00,70
11,0,0,0.00,97,859,0.00,0.00,0.00,0.00,69
12,0,0,0.00,65,924,0.00,0.00,0.00,0.00,68
13,0,0,0.00,100,1024,0.00,0.00,0.00,0.00,67
14,0,0,0.00,362,1386,0.00,0.00,0.00,0.00,66
15,0,0,0.00,134,1520,0.00,0.00,0.00,0.00,65
16,1,1,0.06,34,1554,0.06,0.24,0.06,0.00,64
17,0,1,0.06,216,1770,0.06,0.24,0.06,0.00,63
18,0,1,0.06,385,2155,0.05,0.23,0.06,0.01,62
19,0,1,0.05,156,2311,0.05,0.22,0.06,0.01,61
20,0,1,0.05,128,2439,0.05,0.22,0.06,0.01,60
21,0,1,0.05,160,2599,0.05,0.21,0.06,0.01,59
22,0,1,0.05,171,2770,0.04,0.21,0.06,0.02,58
23,0,1,0.04,78,2848,0.04,0.20,0.06,0.02,57
24,0,1,0.04,138,2986,0.04,0.20,0.06,0.02,56
25,0,1,0.04,54,3040,0.04,0.20,0.06,0.02,55
26,0,1,0.04,210,3250,0.04,0.19,0.06,0.02,54
27,1,1,0.07,52,3302,0.07,0.26,0.07,0.00,53
28,0,1,0.07,226,3528,0.07,0.26,0.07,0.00,52
29,0,1,0.07,101,3629,0.06,0.25,0.07,0.01,51
30,2,2,0.13,165,3794,0.18,0.43,0.13,0.00,50
31,1,2,0.16,163,3957,0.20,0.45,0.16,0.00,49
32,0,2,0.16,75,4032,0.19,0.44,0.16,0.01,48
33,0,2,0.15,206,4238,0.19,0.43,0.16,0.01,47
34,0,2,0.15,240,4478,0.18,0.43,0.16,0.01,46
35,0,2,0.14,33,4511,0.18,0.42,0.16,0.02,45
36,1,2,0.17,120,4631,0.19,0.44,0.17,0.00,44
37,0,2,0.16,53,4684,0.19,0.44,0.17,0.00,43
38,0,2,0.16,37,4721,0.19,0.43,0.17,0.01,42
39,2,2,0.21,182,4903,0.27,0.52,0.21,0.00,41
40,2,2,0.25,330,5233,0.34,0.58,0.25,0.00,40
41,0,2,0.24,24,5257,0.33,0.58,0.25,0.01,39
42,0,2,0.24,351,5608,0.32,0.57,0.25,0.01,38
43,0,2,0.23,40,5648,0.32,0.56,0.25,0.02,37
44,2,2,0.27,202,5850,0.38,0.62,0.27,0.00,36
45,0,2,0.27,100,5950,0.37,0.61,0.27,0.01,35
46,0,2,0.26,91,6041,0.37,0.61,0.27,0.01,34
47,0,2,0.26,24,6065,0.36,0.60,0.27,0.02,33
48,0,2,0.25,78,6143,0.35,0.60,0.27,0.02,32
49,1,2,0.27,99,6242,0.36,0.60,0.27,0.01,31
50,0,2,0.26,118,6360,0.35,0.59,0.27,0.01,30
51,1,2,0.27,330,6690,0.36,0.60,0.27,0.00,29
52,0,2,0.27,140,6830,0.36,0.60,0.27,0.01,28
53,0,2,0.26,106,6936,0.36,0.60,0.27,0.01,27
54,0,2,0.26,47,6983,0.36,0.60,0.27,0.02,26
55,0,2,0.25,45,7028,0.36,0.60,0.27,0.02,25
56,0,2,0.25,52,7080,0.36,0.60,0.27,0.02,24
57,1,2,0.26,18,7098,0.37,0.61,0.27,0.01,23
58,0,2,0.26,125,7223,0.37,0.61,0.27,0.02,22
59,1,2,0.27,141,7364,0.38,0.61,0.27,0.00,21
60,0,2,0.27,23,7387,0.38,0.61,0.27,0.01,20
61,0,2,0.26,307,7694,0.38,0.61,0.27,0.01,19
62,1,2,0.27,105,7799,0.38,0.62,0.27,0.00,18
63,0,2,0.27,55,7854,0.38,0.62,0.27,0.00,17
64,2,2,0.30,507,8361,0.44,0.66,0.30,0.00,16
65,1,2,0.31,107,8468,0.44,0.66,0.31,0.00,15
66,1,2,0.32,91,8559,0.44,0.66,0.32,0.00,14
67,3,3,0.36,328,8887,0.57,0.75,0.36,0.00,13
68,4,4,0.41,565,9452,0.81,0.90,0.41,0.00,12
69,5,5,0.48,379,9831,1.19,1.09,0.48,0.00,11
70,1,5,0.49,76,9907,1.18,1.09,0.49,0.00,10
71,3,5,0.52,330,10000,1.28,1.13,0.52,0.00,9
72,0,5,0.51,153,10000,1.28,1.13,0.52,0.01,8
73,2,5,0.53,252,10000,1.30,1.14,0.53,0.00,7
74,2,5,0.55,207,10000,1.32,1.15,0.55,0.00,6
75,3,5,0.59,517,10000,1.40,1.18,0.59,0.00,5
76,4,5,0.63,237,10000,1.58,1.26,0.63,0.00,4
77,1,5,0.64,79,10000,1.58,1.26,0.64,0.00,3
78,1,5,0.64,293,10000,1.56,1.25,0.64,0.00,2
79,9,9,0.75,526,10000,2.80,1.67,0.75,0.00,1
80,14,14,0.91,747,10000,6.04,2.46,0.91,0.00,0
81,3,14,0.94,67,10000,6.08,2.47,0.94,0.00,0
82,13,14,1.09,1701,10000,8.66,2.94,1.09,0.00,0
83,16,16,1.27,902,10000,12.60,3.55,1.27,0.00,0
84,12,16,1.39,1601,10000,14.46,3.80,1.39,0.00,0
85,1,16,1.39,501,10000,14.39,3.79,1.39,0.00,0
86,9,16,1.48,397,10000,15.24,3.90,1.48,0.00,0
87,2,16,1.48,601,10000,15.13,3.89,1.48,0.00,0
88,1,16,1.48,135,10000,15.05,3.88,1.48,0.01,0
89,8,16,1.55,342,10000,15.64,3.95,1.55,0.00,0
90,21,21,1.77,832,10000,22.26,4.72,1.77,0.00,0
91,30,30,2.08,932,10000,36.32,6.03,2.08,0.00,0
92,24,30,2.32,604,10000,44.18,6.65,2.32,0.00,0
93,22,30,2.53,517,10000,50.09,7.08,2.53,0.00,0
94,17,30,2.68,364,10000,53.00,7.28,2.68,0.00,0
95,36,36,3.03,1022,10000,71.49,8.46,3.03,0.00,0
96,24,36,3.25,481,10000,77.48,8.80,3.25,0.00,0
97,51,51,3.74,1489,10000,116.22,10.78,3.74,0.00,0
98,23,51,3.94,572,10000,120.13,10.96,3.94,0.00,0
99,20,51,4.10,492,10000,122.28,11.06,4.10,0.00,0
100,40,51,4.46,1050,10000,141.06,11.88,4.46,0.00,0
101,40,51,4.86,982,10000,158.93,12.61,4.81,-0.05,0
102,25,51,5.11,693,10000,161.74,12.72,5.06,-0.05,0
103,66,66,5.77,1694,10000,220.87,14.86,5.71,-0.06,0
104,36,66,6.13,832,10000,230.06,15.17,6.07,-0.06,0
105,59,66,6.72,1305,10000,270.01,16.43,6.65,-0.07,0
106,8,66,6.80,171,10000,267.06,16.34,6.73,-0.07,0
107,40,66,7.20,934,10000,277.65,16.66,7.13,-0.07,0
108,39,66,7.59,719,10000,285.47,16.90,7.51,-0.08,0
109,36,66,7.95,766,10000,290.04,17.03,7.87,-0.08,0
110,42,66,8.37,976,10000,298.44,17.28,8.29,-0.08,0
111,9,66,8.46,205,10000,294.12,17.15,8.38,-0.08,0
112,28,66,8.74,536,10000,291.56,17.08,8.65,-0.09,0
113,30,66,9.04,684,10000,288.63,16.99,8.95,-0.09,0
114,19,66,9.23,410,10000,283.59,16.84,9.14,-0.09,0
115,52,66,9.75,1315,10000,299.73,17.31,9.65,-0.10,0
116,48,66,10.22,1038,10000,309.00,17.58,10.13,-0.09,0
117,35,66,10.57,751,10000,307.26,17.53,10.47,-0.10,0
118,19,66,10.76,384,10000,301.66,17.37,10.65,-0.11,0
119,50,66,11.26,1182,10000,312.59,17.68,11.15,-0.11,0
120,28,66,11.54,644,10000,304.32,17.44,11.43,-0.11,0
121,26,66,11.80,623,10000,296.83,17.23,11.68,-0.12,0
122,39,66,12.19,787,10000,290.94,17.06,12.07,-0.12,0
123,15,66,12.34,298,10000,282.99,16.82,12.22,-0.12,0
124,38,66,12.72,873,10000,276.83,16.64,12.59,-0.13,0
125,15,66,12.87,245,10000,269.27,16.41,12.74,-0.13,0
126,38,66,13.25,804,10000,263.53,16.23,13.12,-0.13,0
127,31,66,13.55,732,10000,251.69,15.86,13.43,-0.12,0
128,68,68,14.23,1599,10000,272.25,16.50,14.09,-0.14,0
129,63,68,14.86,1446,10000,289.44,17.01,14.71,-0.15,0
130,45,68,15.29,887,10000,290.20,17.04,15.16,-0.13,0
131,32,68,15.60,576,10000,276.29,16.62,15.46,-0.14,0
132,7,68,15.67,97,10000,281.02,16.76,15.51,-0.16,0
133,15,68,15.82,301,10000,281.59,16.78,15.66,-0.16,0
134,50,68,16.32,1070,10000,283.08,16.82,16.16,-0.16,0
135,29,68,16.61,650,10000,265.52,16.29,16.45,-0.16,0
136,70,70,17.30,1713,10000,284.87,16.88,17.14,-0.16,0
137,21,70,17.51,435,10000,269.01,16.40,17.34,-0.17,0
138,31,70,17.82,659,10000,248.77,15.77,17.64,-0.18,0
139,31,70,18.11,637,10000,236.00,15.36,17.95,-0.16,0
140,5,70,18.14,103,10000,249.09,15.78,17.98,-0.16,0
141,35,70,18.49,731,10000,248.92,15.78,18.31,-0.18,0
142,32,70,18.81,570,10000,247.17,15.72,18.62,-0.19,0
143,31,70,19.12,665,10000,244.59,15.64,18.93,-0.19,0
144,32,70,19.42,732,10000,238.96,15.46,19.25,-0.17,0
145,22,70,19.64,438,10000,241.70,15.55,19.45,-0.19,0
146,53,70,20.17,1052,10000,246.86,15.71,19.97,-0.20,0
147,43,70,20.60,803,10000,242.79,15.58,20.40,-0.20,0
148,33,70,20.93,541,10000,240.28,15.50,20.72,-0.21,0
149,22,70,21.14,429,10000,239.20,15.47,20.94,-0.20,0
150,42,70,21.56,906,10000,239.73,15.48,21.35,-0.21,0
151,35,70,21.90,766,10000,239.11,15.46,21.69,-0.21,0
152,14,70,22.04,256,10000,245.60,15.67,21.82,-0.22,0
153,29,70,22.33,705,10000,225.28,15.01,22.11,-0.22,0
154,25,70,22.58,599,10000,226.51,15.05,22.36,-0.22,0
155,30,70,22.88,636,10000,213.04,14.60,22.65,-0.23,0
156,27,70,23.15,517,10000,201.42,14.19,22.92,-0.23,0
157,21,70,23.35,372,10000,203.16,14.25,23.13,-0.22,0
158,31,70,23.66,712,10000,202.37,14.23,23.43,-0.23,0
159,40,70,24.05,959,10000,203.25,14.26,23.82,-0.23,0
160,52,70,24.57,1220,10000,209.00,14.46,24.33,-0.24,0
161,15,70,24.72,311,10000,204.01,14.28,24.48,-0.24,0
162,29,70,25.00,645,10000,203.84,14.28,24.76,-0.24,0
163,39,70,25.39,898,10000,204.40,14.30,25.14,-0.25,0
164,62,70,25.99,1645,10000,216.49,14.71,25.75,-0.24,0
165,23,70,26.21,421,10000,211.98,14.56,25.96,-0.25,0
166,16,70,26.36,327,10000,213.26,14.60,26.11,-0.25,0
167,47,70,26.80,1085,10000,217.19,14.74,26.56,-0.24,0
168,51,70,27.27,1166,10000,219.45,14.81,27.04,-0.23,0
169,42,70,27.64,870,10000,215.44,14.68,27.42,-0.22,0
170,31,70,27.94,690,10000,214.97,14.66,27.67,-0.27,0
171,31,70,28.22,606,10000,213.97,14.63,27.97,-0.25,0
172,49,70,28.71,952,10000,218.10,14.77,28.43,-0.28,0
173,28,70,28.97,681,10000,211.66,14.55,28.70,-0.27,0
174,29,70,29.24,623,10000,211.81,14.55,28.97,-0.27,0
175,29,70,29.50,619,10000,205.11,14.32,29.24,-0.26,0
176,4,70,29.50,160,10000,222.49,14.92,29.25,-0.25,0
177,49,70,29.98,1145,10000,227.08,15.07,29.69,-0.29,0
178,51,70,30.48,1239,10000,209.49,14.47,30.19,-0.29,0
179,41,70,30.80,870,10000,192.98,13.89,30.58,-0.22,0
180,12,70,30.78,188,10000,198.51,14.09,30.61,-0.17,0
181,40,70,31.15,927,10000,199.65,14.13,30.87,-0.28,0
182,46,70,31.48,1045,10000,189.65,13.77,31.30,-0.18,0
183,18,70,31.50,422,10000,187.63,13.70,31.35,-0.15,0
184,44,70,31.82,1048,10000,184.34,13.58,31.62,-0.20,0
185,26,70,32.07,605,10000,185.03,13.60,31.76,-0.31,0
186,25,70,32.23,479,10000,158.44,12.59,32.00,-0.23,0
187,30,70,32.51,797,10000,155.97,12.49,32.21,-0.30,0
188,23,70,32.73,429,10000,157.69,12.56,32.42,-0.31,0
189,21,70,32.86,359,10000,160.17,12.66,32.61,-0.25,0
190,16,70,32.81,249,10000,150.62,12.27,32.69,-0.12,0
191,34,70,32.85,615,10000,150.53,12.27,32.82,-0.03,0
192,21,70,32.82,525,10000,153.03,12.37,32.82,0.00,0
193,22,70,32.82,465,10000,155.01,12.45,32.82,0.00,0
194,28,70,32.93,584,10000,155.31,12.46,32.82,-0.11,0
195,47,70,33.04,1001,10000,157.74,12.56,33.07,0.03,0
196,46,70,33.26,951,10000,152.91,12.37,33.17,-0.09,0
197,45,70,33.20,1128,10000,153.85,12.40,33.38,0.18,0
198,15,70,33.12,205,10000,159.64,12.63,33.38,0.26,0
199,19,70,33.11,312,10000,161.00,12.69,33.38,0.27,0
200,35,70,33.06,695,10000,159.10,12.61,33.38,0.32,0
201,27,70,32.93,546,10000,159.29,12.62,33.38,0.45,0
202,13,70,32.81,221,10000,160.01,12.65,33.38,0.57,0
203,34,70,32.49,646,10000,160.00,12.65,33.38,0.89,0
204,61,70,32.74,1355,10000,175.93,13.26,33.38,0.64,0
205,14,70,32.29,295,10000,182.42,13.51,33.38,1.09,0
206,43,70,32.64,833,10000,184.25,13.57,33.38,0.74,0
207,55,70,32.79,1100,10000,191.54,13.84,33.38,0.59,0
208,41,70,32.81,930,10000,192.71,13.88,33.38,0.57,0
209,23,70,32.68,492,10000,193.73,13.92,33.38,0.70,0
210,16,70,32.42,292,10000,191.55,13.84,33.38,0.96,0
211,28,70,32.61,596,10000,185.96,13.64,33.38,0.77,0
212,31,70,32.64,599,10000,185.76,13.63,33.38,0.74,0
